Row,Day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
1,Sunday,1,2014-09-14,2146,1582,1430,152
2,Monday,2,2014-09-15,3621,2528,2297,231
3,Tuesday,3,2014-09-16,3698,2630,2352,278
4,Wednesday,4,2014-09-17,3667,2614,2327,287
5,Thursday,5,2014-09-18,3316,2366,2130,236
6,Friday,6,2014-09-19,2815,1863,1622,241
7,Saturday,7,2014-09-20,1658,1118,985,133
8,Sunday,1,2014-09-21,2288,1656,1481,175
9,Monday,2,2014-09-22,3638,2586,2312,274
10,Tuesday,3,2014-09-23,4462,3257,2989,268
11,Wednesday,4,2014-09-24,4414,3175,2891,284
12,Thursday,5,2014-09-25,4315,3029,2743,286
13,Friday,6,2014-09-26,3323,2249,2033,216
14,Saturday,7,2014-09-27,1656,1180,1040,140
15,Sunday,1,2014-09-28,2465,1806,1613,193
16,Monday,2,2014-09-29,4096,2873,2577,296
17,Tuesday,3,2014-09-30,4474,3032,2720,312
18,Wednesday,4,2014-10-01,4124,2849,2541,308
19,Thursday,5,2014-10-02,3514,2489,2239,250
20,Friday,6,2014-10-03,3005,2097,1856,241
21,Saturday,7,2014-10-04,2054,1436,1274,162
22,Sunday,1,2014-10-05,2847,1913,1713,200
23,Monday,2,2014-10-06,4501,3181,2853,328
24,Tuesday,3,2014-10-07,4603,3163,2804,359
25,Wednesday,4,2014-10-08,4187,3014,2663,351
26,Thursday,5,2014-10-09,4343,2864,2545,319
27,Friday,6,2014-10-10,3565,2382,2100,282
28,Saturday,7,2014-10-11,2080,1457,1280,177
29,Sunday,1,2014-10-12,3031,2089,1856,233
30,Monday,2,2014-10-13,4814,3339,2973,366
31,Tuesday,3,2014-10-14,5040,3604,3217,387
32,Wednesday,4,2014-10-15,5028,3515,3094,421
33,Thursday,5,2014-10-16,4658,3331,2955,376
34,Friday,6,2014-10-17,3624,2477,2148,329
35,Saturday,7,2014-10-18,2285,1619,1416,203
36,Sunday,1,2014-10-19,3454,2346,2060,286
37,Monday,2,2014-10-20,5307,3717,3308,409
38,Tuesday,3,2014-10-21,5135,3701,3280,421
39,Wednesday,4,2014-10-22,5084,3611,3177,434
40,Thursday,5,2014-10-23,4650,3316,2940,376
41,Friday,6,2014-10-24,3571,2498,2170,328
42,Saturday,7,2014-10-25,2354,1661,1417,244
43,Sunday,1,2014-10-26,3497,2508,2218,290
44,Monday,2,2014-10-27,5294,3737,3286,451
45,Tuesday,3,2014-10-28,4643,3328,2905,423
46,Wednesday,4,2014-10-29,4596,3279,2863,416
47,Thursday,5,2014-10-30,4162,3041,2657,384
48,Friday,6,2014-10-31,2933,2007,1728,279
49,Saturday,7,2014-11-01,2202,1496,1270,226
50,Sunday,1,2014-11-02,3083,2204,1940,264
51,Monday,2,2014-11-03,4376,3057,2629,428
52,Tuesday,3,2014-11-04,4704,3141,2739,402
53,Wednesday,4,2014-11-05,4306,3200,2797,403
54,Thursday,5,2014-11-06,4178,3034,2627,407
55,Friday,6,2014-11-07,3236,2318,1975,343
56,Saturday,7,2014-11-08,2010,1536,1345,191
57,Sunday,1,2014-11-09,2901,2141,1849,292
58,Monday,2,2014-11-10,4754,3325,2885,440
59,Tuesday,3,2014-11-11,4417,3203,2793,410
60,Wednesday,4,2014-11-12,4535,3351,2897,454
61,Thursday,5,2014-11-13,4274,3194,2758,436
62,Friday,6,2014-11-14,3382,2423,2061,362
63,Saturday,7,2014-11-15,2085,1488,1280,208
64,Sunday,1,2014-11-16,3083,2215,1926,289
65,Monday,2,2014-11-17,4860,3559,3069,490
66,Tuesday,3,2014-11-18,4893,3570,3133,437
67,Wednesday,4,2014-11-19,4866,3544,3056,488
68,Thursday,5,2014-11-20,4584,3357,2899,458
69,Friday,6,2014-11-21,3914,2750,2361,389
70,Saturday,7,2014-11-22,2431,1716,1463,253
71,Sunday,1,2014-11-23,3157,2369,2082,287
72,Monday,2,2014-11-24,5045,3615,3146,469
73,Tuesday,3,2014-11-25,4746,3236,2821,415
74,Wednesday,4,2014-11-26,4314,2919,2513,406
75,Thursday,5,2014-11-27,3663,2476,2162,314
76,Friday,6,2014-11-28,3270,2268,1931,337
77,Saturday,7,2014-11-29,2905,1976,1695,281
78,Sunday,1,2014-11-30,4016,2832,2489,343
79,Monday,2,2014-12-01,5266,3877,3317,560
80,Tuesday,3,2014-12-02,5795,4274,3700,574
81,Wednesday,4,2014-12-03,5728,4217,3656,561
82,Thursday,5,2014-12-04,5293,3830,3295,535
83,Friday,6,2014-12-05,3934,2856,2479,377
84,Saturday,7,2014-12-06,3071,2165,1855,310
85,Sunday,1,2014-12-07,3876,2984,2582,402
86,Monday,2,2014-12-08,5878,4375,3829,546
87,Tuesday,3,2014-12-09,5712,4187,3635,552
88,Wednesday,4,2014-12-10,5491,4074,3480,594
89,Thursday,5,2014-12-11,5144,3801,3247,554
90,Friday,6,2014-12-12,3880,2860,2418,442
91,Saturday,7,2014-12-13,2605,1838,1538,300
92,Sunday,1,2014-12-14,3625,2650,2259,391
93,Monday,2,2014-12-15,4685,3478,3000,478
94,Tuesday,3,2014-12-16,4891,3338,2861,477
95,Wednesday,4,2014-12-17,4222,3053,2606,447
96,Thursday,5,2014-12-18,3691,2690,2275,415
97,Friday,6,2014-12-19,2748,1879,1559,320
98,Saturday,7,2014-12-20,1380,1011,836,175
99,Sunday,1,2014-12-21,1474,1054,876,178
100,Monday,2,2014-12-22,2452,1715,1394,321
101,Tuesday,3,2014-12-23,2298,1440,1159,281
102,Wednesday,4,2014-12-24,1430,947,772,175
103,Thursday,5,2014-12-25,1002,667,522,145
104,Friday,6,2014-12-26,1486,1005,808,197
105,Saturday,7,2014-12-27,1345,941,781,160
106,Sunday,1,2014-12-28,1453,948,765,183
107,Monday,2,2014-12-29,2173,1472,1228,244
108,Tuesday,3,2014-12-30,2208,1424,1172,252
109,Wednesday,4,2014-12-31,1381,955,773,182
110,Thursday,5,2015-01-01,1265,876,715,161
111,Friday,6,2015-01-02,1948,1288,1030,258
112,Saturday,7,2015-01-03,1742,1096,946,150
113,Sunday,1,2015-01-04,1896,1409,1186,223
114,Monday,2,2015-01-05,3033,2062,1706,356
115,Tuesday,3,2015-01-06,3445,2327,1942,385
116,Wednesday,4,2015-01-07,3423,2384,1991,393
117,Thursday,5,2015-01-08,3319,2272,1922,350
118,Friday,6,2015-01-09,2783,1941,1663,278
119,Saturday,7,2015-01-10,1952,1240,1066,174
120,Sunday,1,2015-01-11,2245,1611,1391,220
121,Monday,2,2015-01-12,3928,2518,2125,393
122,Tuesday,3,2015-01-13,3810,2621,2239,382
123,Wednesday,4,2015-01-14,3931,2656,2229,427
124,Thursday,5,2015-01-15,3523,2457,2069,388
125,Friday,6,2015-01-16,2943,1928,1640,288
126,Saturday,7,2015-01-17,1751,1237,1052,185
127,Sunday,1,2015-01-18,2491,1762,1541,221
128,Monday,2,2015-01-19,3766,2665,2271,394
129,Tuesday,3,2015-01-20,4194,2852,2423,429
130,Wednesday,4,2015-01-21,4038,2916,2482,434
131,Thursday,5,2015-01-22,3891,2702,2334,368
132,Friday,6,2015-01-23,3111,2181,1897,284
133,Saturday,7,2015-01-24,1946,1414,1239,175
134,Sunday,1,2015-01-25,2802,2010,1740,270
135,Monday,2,2015-01-26,3892,2841,2466,375
136,Tuesday,3,2015-01-27,4172,3003,2592,411
137,Wednesday,4,2015-01-28,4464,3280,2862,418
138,Thursday,5,2015-01-29,4377,3143,2679,464
139,Friday,6,2015-01-30,3734,2514,2129,385
140,Saturday,7,2015-01-31,2262,1657,1443,214
141,Sunday,1,2015-02-01,3050,2122,1825,297
142,Monday,2,2015-02-02,4794,3366,2867,499
143,Tuesday,3,2015-02-03,4936,3423,2922,501
144,Wednesday,4,2015-02-04,5016,3500,3023,477
145,Thursday,5,2015-02-05,4489,3170,2753,417
146,Friday,6,2015-02-06,3505,2468,2075,393
147,Saturday,7,2015-02-07,2264,1679,1437,242
148,Sunday,1,2015-02-08,3314,2435,2100,335
149,Monday,2,2015-02-09,5095,3619,3125,494
150,Tuesday,3,2015-02-10,5525,3793,3272,521
151,Wednesday,4,2015-02-11,5074,3689,3190,499
152,Thursday,5,2015-02-12,4571,3319,2810,509
153,Friday,6,2015-02-13,3570,2664,2253,411
154,Saturday,7,2015-02-14,2182,1565,1323,242
155,Sunday,1,2015-02-15,3265,2277,1935,342
156,Monday,2,2015-02-16,4670,3297,2826,471
157,Tuesday,3,2015-02-17,4764,3452,2957,495
158,Wednesday,4,2015-02-18,4943,3526,3026,500
159,Thursday,5,2015-02-19,4790,3307,2811,496
160,Friday,6,2015-02-20,3604,2621,2241,380
161,Saturday,7,2015-02-21,2455,1823,1569,254
162,Sunday,1,2015-02-22,3650,2690,2329,361
163,Monday,2,2015-02-23,5463,3975,3433,542
164,Tuesday,3,2015-02-24,5884,4112,3542,570
165,Wednesday,4,2015-02-25,5615,4019,3432,587
166,Thursday,5,2015-02-26,5289,3747,3186,561
167,Friday,6,2015-02-27,4434,2969,2486,483
168,Saturday,7,2015-02-28,2665,1977,1694,283
169,Sunday,1,2015-03-01,3907,2906,2519,387
170,Monday,2,2015-03-02,5308,3778,3222,556
171,Tuesday,3,2015-03-03,5773,4025,3490,535
172,Wednesday,4,2015-03-04,5585,4060,3457,603
173,Thursday,5,2015-03-05,4783,3582,3049,533
174,Friday,6,2015-03-06,3893,2707,2259,448
175,Saturday,7,2015-03-07,2917,2048,1723,325
176,Sunday,1,2015-03-08,3353,2468,2104,364
177,Monday,2,2015-03-09,5400,3824,3246,578
178,Tuesday,3,2015-03-10,5395,3926,3350,576
179,Wednesday,4,2015-03-11,5229,3859,3263,596
180,Thursday,5,2015-03-12,5371,3784,3204,580
181,Friday,6,2015-03-13,4185,3045,2559,486
182,Saturday,7,2015-03-14,2724,1988,1675,313
183,Sunday,1,2015-03-15,3590,2620,2196,424
184,Monday,2,2015-03-16,5367,3771,3192,579
185,Tuesday,3,2015-03-17,5440,3968,3387,581
186,Wednesday,4,2015-03-18,5465,4043,3458,585
187,Thursday,5,2015-03-19,5318,3813,3262,551
188,Friday,6,2015-03-20,4225,2916,2462,454
189,Saturday,7,2015-03-21,2687,1975,1667,308
190,Sunday,1,2015-03-22,3791,2786,2388,398
191,Monday,2,2015-03-23,5661,3949,3331,618
192,Tuesday,3,2015-03-24,5759,4081,3487,594
193,Wednesday,4,2015-03-25,5599,3983,3378,605
194,Thursday,5,2015-03-26,5103,3755,3184,571
195,Friday,6,2015-03-27,4313,2946,2446,500
196,Saturday,7,2015-03-28,2971,2011,1651,360
197,Sunday,1,2015-03-29,3662,2693,2285,408
198,Monday,2,2015-03-30,5635,3985,3386,599
199,Tuesday,3,2015-03-31,5581,3963,3359,604
200,Wednesday,4,2015-04-01,5329,3761,3170,591
201,Thursday,5,2015-04-02,4553,3214,2710,504
202,Friday,6,2015-04-03,3423,2404,1988,416
203,Saturday,7,2015-04-04,2708,1807,1512,295
204,Sunday,1,2015-04-05,3306,2266,1895,371
205,Monday,2,2015-04-06,5203,3692,3133,559
206,Tuesday,3,2015-04-07,5712,4104,3456,648
207,Wednesday,4,2015-04-08,5601,4015,3401,614
208,Thursday,5,2015-04-09,5486,4063,3430,633
209,Friday,6,2015-04-10,4178,3213,2697,516
210,Saturday,7,2015-04-11,2878,2153,1835,318
211,Sunday,1,2015-04-12,4169,2903,2447,456
212,Monday,2,2015-04-13,6372,4485,3787,698
213,Tuesday,3,2015-04-14,6240,4391,3698,693
214,Wednesday,4,2015-04-15,6170,4409,3723,686
215,Thursday,5,2015-04-16,6071,4275,3586,689
216,Friday,6,2015-04-17,4682,3307,2741,566
217,Saturday,7,2015-04-18,3208,2291,1894,397
218,Sunday,1,2015-04-19,4310,3144,2669,475
219,Monday,2,2015-04-20,6435,4694,3929,765
220,Tuesday,3,2015-04-21,6299,4455,3769,686
221,Wednesday,4,2015-04-22,6360,4512,3797,715
222,Thursday,5,2015-04-23,6349,4360,3664,696
223,Friday,6,2015-04-24,4660,3387,2845,542
224,Saturday,7,2015-04-25,3354,2420,2035,385
225,Sunday,1,2015-04-26,4371,3189,2688,501
226,Monday,2,2015-04-27,6534,4731,3977,754
227,Tuesday,3,2015-04-28,6832,4941,4161,780
228,Wednesday,4,2015-04-29,6689,4870,4110,760
229,Thursday,5,2015-04-30,5849,4086,3450,636
230,Friday,6,2015-05-01,4247,3064,2562,502
231,Saturday,7,2015-05-02,3219,2360,1958,402
232,Sunday,1,2015-05-03,4211,3210,2765,445
233,Monday,2,2015-05-04,6424,4752,4043,709
234,Tuesday,3,2015-05-05,6223,4520,3818,702
235,Wednesday,4,2015-05-06,6551,4768,4059,709
236,Thursday,5,2015-05-07,6343,4449,3770,679
237,Friday,6,2015-05-08,4696,3366,2824,542
238,Saturday,7,2015-05-09,3134,2239,1846,393
239,Sunday,1,2015-05-10,3868,2844,2365,479
240,Monday,2,2015-05-11,6020,4482,3787,695
241,Tuesday,3,2015-05-12,5705,4160,3490,670
242,Wednesday,4,2015-05-13,5752,4016,3348,668
243,Thursday,5,2015-05-14,5181,3605,3008,597
244,Friday,6,2015-05-15,4269,2913,2404,509
245,Saturday,7,2015-05-16,2633,1818,1473,345
246,Sunday,1,2015-05-17,3336,2376,1988,388
247,Monday,2,2015-05-18,5127,3587,2955,632
248,Tuesday,3,2015-05-19,5449,3767,3149,618
249,Wednesday,4,2015-05-20,5746,3956,3371,585
250,Thursday,5,2015-05-21,5115,3642,3046,596
251,Friday,6,2015-05-22,3995,2749,2243,506
252,Saturday,7,2015-05-23,2618,1884,1585,299
253,Sunday,1,2015-05-24,2961,2117,1763,354
254,Monday,2,2015-05-25,4090,2913,2427,486
255,Tuesday,3,2015-05-26,5201,3637,3073,564
256,Wednesday,4,2015-05-27,5321,3797,3146,651
257,Thursday,5,2015-05-28,5219,3509,2887,622
258,Friday,6,2015-05-29,4017,2804,2338,466
259,Saturday,7,2015-05-30,2297,1629,1346,283
260,Sunday,1,2015-05-31,3145,2226,1860,366
261,Monday,2,2015-06-01,4905,3419,2797,622
262,Tuesday,3,2015-06-02,4747,3284,2701,583
263,Wednesday,4,2015-06-03,4591,3317,2713,604
264,Thursday,5,2015-06-04,4431,3173,2652,521
265,Friday,6,2015-06-05,3608,2523,2068,455
266,Saturday,7,2015-06-06,2422,1673,1336,337
267,Sunday,1,2015-06-07,3132,2145,1790,355
268,Monday,2,2015-06-08,4962,3377,2788,589
269,Tuesday,3,2015-06-09,4881,3469,2862,607
270,Wednesday,4,2015-06-10,5001,3425,2786,639
271,Thursday,5,2015-06-11,4635,3242,2614,628
272,Friday,6,2015-06-12,3545,2494,2066,428
273,Saturday,7,2015-06-13,2262,1490,1235,255
274,Sunday,1,2015-06-14,2866,2034,1692,342
275,Monday,2,2015-06-15,4692,3261,2682,579
276,Tuesday,3,2015-06-16,4602,3204,2660,544
277,Wednesday,4,2015-06-17,4620,3101,2556,545
278,Thursday,5,2015-06-18,4475,2955,2386,569
279,Friday,6,2015-06-19,3564,2422,1954,468
280,Saturday,7,2015-06-20,2071,1370,1129,241
281,Sunday,1,2015-06-21,2659,1840,1523,317
282,Monday,2,2015-06-22,4338,2963,2410,553
283,Tuesday,3,2015-06-23,4531,3139,2566,573
284,Wednesday,4,2015-06-24,4498,3022,2481,541
285,Thursday,5,2015-06-25,4128,2730,2210,520
286,Friday,6,2015-06-26,3132,2153,1721,432
287,Saturday,7,2015-06-27,1829,1264,1067,197
288,Sunday,1,2015-06-28,2149,1517,1224,293
289,Monday,2,2015-06-29,3975,2691,2169,522
290,Tuesday,3,2015-06-30,4046,2718,2180,538
291,Wednesday,4,2015-07-01,3897,2745,2266,479
292,Thursday,5,2015-07-02,3871,2540,2072,468
293,Friday,6,2015-07-03,2630,1716,1353,363
294,Saturday,7,2015-07-04,1602,1104,900,204
295,Sunday,1,2015-07-05,1960,1370,1141,229
296,Monday,2,2015-07-06,4143,2655,2171,484
297,Tuesday,3,2015-07-07,4205,2789,2266,523
298,Wednesday,4,2015-07-08,4193,2783,2255,528
299,Thursday,5,2015-07-09,3710,2536,2069,467
300,Friday,6,2015-07-10,3137,2203,1767,436
301,Saturday,7,2015-07-11,1834,1145,944,201
302,Sunday,1,2015-07-12,2070,1473,1197,276
303,Monday,2,2015-07-13,4180,2852,2310,542
304,Tuesday,3,2015-07-14,4038,2731,2226,505
305,Wednesday,4,2015-07-15,3906,2667,2119,548
306,Thursday,5,2015-07-16,3580,2424,1940,484
307,Friday,6,2015-07-17,2948,2070,1708,362
308,Saturday,7,2015-07-18,1622,1121,924,197
309,Sunday,1,2015-07-19,2179,1480,1214,266
310,Monday,2,2015-07-20,3906,2615,2146,469
311,Tuesday,3,2015-07-21,3745,2596,2071,525
312,Wednesday,4,2015-07-22,4212,2761,2205,556
313,Thursday,5,2015-07-23,3901,2595,2095,500
314,Friday,6,2015-07-24,3292,2207,1785,422
315,Saturday,7,2015-07-25,1819,1229,1016,213
316,Sunday,1,2015-07-26,2068,1562,1286,276
317,Monday,2,2015-07-27,3991,2805,2243,562
318,Tuesday,3,2015-07-28,4073,2862,2361,501
319,Wednesday,4,2015-07-29,4069,2825,2324,501
320,Thursday,5,2015-07-30,3716,2629,2126,503
321,Friday,6,2015-07-31,3380,2120,1709,411
322,Saturday,7,2015-08-01,1737,1197,958,239
323,Sunday,1,2015-08-02,2181,1567,1282,285
324,Monday,2,2015-08-03,3973,2794,2263,531
325,Tuesday,3,2015-08-04,3997,2794,2269,525
326,Wednesday,4,2015-08-05,4132,2798,2287,511
327,Thursday,5,2015-08-06,3791,2693,2204,489
328,Friday,6,2015-08-07,2968,2139,1738,401
329,Saturday,7,2015-08-08,1752,1266,1021,245
330,Sunday,1,2015-08-09,2070,1497,1231,266
331,Monday,2,2015-08-10,3920,2684,2139,545
332,Tuesday,3,2015-08-11,4106,2791,2266,525
333,Wednesday,4,2015-08-12,4006,2726,2166,560
334,Thursday,5,2015-08-13,3827,2639,2133,506
335,Friday,6,2015-08-14,2944,1973,1564,409
336,Saturday,7,2015-08-15,1827,1193,954,239
337,Sunday,1,2015-08-16,2373,1658,1369,289
338,Monday,2,2015-08-17,4031,2763,2290,473
339,Tuesday,3,2015-08-18,4027,2780,2248,532
340,Wednesday,4,2015-08-19,3912,2795,2291,504
341,Thursday,5,2015-08-20,3867,2715,2191,524
342,Friday,6,2015-08-21,3304,2238,1806,432
343,Saturday,7,2015-08-22,1685,1208,1011,197
344,Sunday,1,2015-08-23,2130,1542,1282,260
345,Monday,2,2015-08-24,3936,2697,2182,515
346,Tuesday,3,2015-08-25,4029,2744,2203,541
347,Wednesday,4,2015-08-26,4010,2789,2237,552
348,Thursday,5,2015-08-27,4027,2890,2392,498
349,Friday,6,2015-08-28,2829,2000,1585,415
350,Saturday,7,2015-08-29,1736,1227,1023,204
351,Sunday,1,2015-08-30,2517,1686,1416,270
352,Monday,2,2015-08-31,4029,2769,2299,470
353,Tuesday,3,2015-09-01,4261,2890,2358,532
354,Wednesday,4,2015-09-02,4058,2923,2442,481
355,Thursday,5,2015-09-03,4392,3007,2466,541
356,Friday,6,2015-09-04,3072,2221,1846,375
357,Saturday,7,2015-09-05,1799,1284,1068,216
358,Sunday,1,2015-09-06,2341,1611,1345,266
359,Monday,2,2015-09-07,3330,2354,1963,391
360,Tuesday,3,2015-09-08,4734,3381,2833,548
361,Wednesday,4,2015-09-09,4801,3381,2845,536
362,Thursday,5,2015-09-10,4399,3079,2575,504
363,Friday,6,2015-09-11,3275,2375,1958,417
364,Saturday,7,2015-09-12,2042,1429,1223,206
365,Sunday,1,2015-09-13,2827,2103,1844,259
366,Monday,2,2015-09-14,4836,3437,2954,483
367,Tuesday,3,2015-09-15,4840,3465,2944,521
368,Wednesday,4,2015-09-16,4504,3356,2902,454
369,Thursday,5,2015-09-17,4379,3240,2736,504
370,Friday,6,2015-09-18,3391,2428,2024,404
371,Saturday,7,2015-09-19,2045,1513,1278,235
372,Sunday,1,2015-09-20,2721,2081,1817,264
373,Monday,2,2015-09-21,4630,3535,2998,537
374,Tuesday,3,2015-09-22,4748,3540,3004,536
375,Wednesday,4,2015-09-23,4702,3377,2893,484
376,Thursday,5,2015-09-24,4440,3309,2827,482
377,Friday,6,2015-09-25,3513,2518,2116,402
378,Saturday,7,2015-09-26,2253,1633,1395,238
379,Sunday,1,2015-09-27,3141,2291,1980,311
380,Monday,2,2015-09-28,5122,3808,3289,519
381,Tuesday,3,2015-09-29,5151,3868,3305,563
382,Wednesday,4,2015-09-30,4969,3703,3182,521
383,Thursday,5,2015-10-01,4619,3365,2876,489
384,Friday,6,2015-10-02,3443,2598,2196,402
385,Saturday,7,2015-10-03,2302,1754,1503,251
386,Sunday,1,2015-10-04,3291,2506,2173,333
387,Monday,2,2015-10-05,5206,3737,3170,567
388,Tuesday,3,2015-10-06,5474,3940,3337,603
389,Wednesday,4,2015-10-07,5400,3934,3350,584
390,Thursday,5,2015-10-08,5334,3821,3244,577
391,Friday,6,2015-10-09,4174,3022,2547,475
392,Saturday,7,2015-10-10,2571,1853,1597,256
393,Sunday,1,2015-10-11,3572,2636,2283,353
394,Monday,2,2015-10-12,5018,3788,3241,547
395,Tuesday,3,2015-10-13,5565,4159,3536,623
396,Wednesday,4,2015-10-14,5420,4048,3403,645
397,Thursday,5,2015-10-15,5366,3908,3331,577
398,Friday,6,2015-10-16,4091,3002,2507,495
399,Saturday,7,2015-10-17,2824,2087,1770,317
400,Sunday,1,2015-10-18,3843,2825,2441,384
401,Monday,2,2015-10-19,5516,4140,3491,649
402,Tuesday,3,2015-10-20,5572,4121,3460,661
403,Wednesday,4,2015-10-21,5243,3882,3298,584
404,Thursday,5,2015-10-22,5133,3720,3104,616
405,Friday,6,2015-10-23,4084,2947,2441,506
406,Saturday,7,2015-10-24,2739,1978,1647,331
407,Sunday,1,2015-10-25,3781,2857,2435,422
408,Monday,2,2015-10-26,5684,4073,3417,656
409,Tuesday,3,2015-10-27,5687,4179,3534,645
410,Wednesday,4,2015-10-28,5906,4266,3614,652
411,Thursday,5,2015-10-29,5541,4020,3368,652
412,Friday,6,2015-10-30,4171,3043,2501,542
413,Saturday,7,2015-10-31,2586,1820,1496,324
414,Sunday,1,2015-11-01,3838,2922,2456,466
415,Monday,2,2015-11-02,5675,4076,3419,657
416,Tuesday,3,2015-11-03,5624,4178,3504,674
417,Wednesday,4,2015-11-04,5794,4316,3670,646
418,Thursday,5,2015-11-05,5389,4031,3379,652
419,Friday,6,2015-11-06,4305,3047,2522,525
420,Saturday,7,2015-11-07,3281,2202,1854,348
421,Sunday,1,2015-11-08,3790,2837,2418,419
422,Monday,2,2015-11-09,5894,4203,3487,716
423,Tuesday,3,2015-11-10,5461,4048,3388,660
424,Wednesday,4,2015-11-11,5206,3869,3219,650
425,Thursday,5,2015-11-12,5228,3929,3281,648
426,Friday,6,2015-11-13,4097,2971,2436,535
427,Saturday,7,2015-11-14,2694,1964,1616,348
428,Sunday,1,2015-11-15,3893,2930,2483,447
429,Monday,2,2015-11-16,6185,4550,3872,678
430,Tuesday,3,2015-11-17,6178,4503,3795,708
431,Wednesday,4,2015-11-18,6067,4397,3693,704
432,Thursday,5,2015-11-19,5656,4166,3487,679
433,Friday,6,2015-11-20,4398,3173,2645,528
434,Saturday,7,2015-11-21,2836,2086,1741,345
435,Sunday,1,2015-11-22,3896,2927,2424,503
436,Monday,2,2015-11-23,5814,4236,3543,693
437,Tuesday,3,2015-11-24,5879,4140,3475,665
438,Wednesday,4,2015-11-25,4800,3457,2836,621
439,Thursday,5,2015-11-26,3838,2825,2334,491
440,Friday,6,2015-11-27,3576,2579,2118,461
441,Saturday,7,2015-11-28,2799,1974,1652,322
442,Sunday,1,2015-11-29,4228,3127,2605,522
443,Monday,2,2015-11-30,6331,4570,3817,753
444,Tuesday,3,2015-12-01,6380,4743,4027,716
445,Wednesday,4,2015-12-02,6314,4829,4039,790
446,Thursday,5,2015-12-03,6160,4584,3835,749
447,Friday,6,2015-12-04,4859,3615,2995,620
448,Saturday,7,2015-12-05,3317,2468,2040,428
449,Sunday,1,2015-12-06,4715,3550,2972,578
450,Monday,2,2015-12-07,6940,5136,4303,833
451,Tuesday,3,2015-12-08,6551,4866,4068,798
452,Wednesday,4,2015-12-09,6327,4761,3961,800
453,Thursday,5,2015-12-10,6212,4578,3830,748
454,Friday,6,2015-12-11,4687,3388,2771,617
455,Saturday,7,2015-12-12,3014,2283,1856,427
456,Sunday,1,2015-12-13,4132,3064,2548,516
457,Monday,2,2015-12-14,5989,4330,3606,724
458,Tuesday,3,2015-12-15,5331,3967,3309,658
459,Wednesday,4,2015-12-16,5183,3665,3025,640
460,Thursday,5,2015-12-17,4769,3515,2917,598
461,Friday,6,2015-12-18,3627,2518,2071,447
462,Saturday,7,2015-12-19,1857,1319,1087,232
463,Sunday,1,2015-12-20,2221,1489,1204,285
464,Monday,2,2015-12-21,3335,2335,1906,429
465,Tuesday,3,2015-12-22,2883,2047,1639,408
466,Wednesday,4,2015-12-23,2353,1621,1312,309
467,Thursday,5,2015-12-24,1578,1099,886,213
468,Friday,6,2015-12-25,1017,724,586,138
469,Saturday,7,2015-12-26,1334,936,760,176
470,Sunday,1,2015-12-27,1690,1155,947,208
471,Monday,2,2015-12-28,2838,1829,1474,355
472,Tuesday,3,2015-12-29,2815,1786,1419,367
473,Wednesday,4,2015-12-30,2382,1618,1292,326
474,Thursday,5,2015-12-31,1587,1035,809,226
475,Friday,6,2016-01-01,1411,960,786,174
476,Saturday,7,2016-01-02,1838,1197,969,228
477,Sunday,1,2016-01-03,2180,1562,1279,283
478,Monday,2,2016-01-04,3587,2494,2037,457
479,Tuesday,3,2016-01-05,3855,2742,2230,512
480,Wednesday,4,2016-01-06,3840,2628,2127,501
481,Thursday,5,2016-01-07,3735,2746,2258,488
482,Friday,6,2016-01-08,3223,2286,1860,426
483,Saturday,7,2016-01-09,2207,1531,1280,251
484,Sunday,1,2016-01-10,2814,2000,1661,339
485,Monday,2,2016-01-11,4007,2976,2444,532
486,Tuesday,3,2016-01-12,4119,2961,2385,576
487,Wednesday,4,2016-01-13,4338,3164,2631,533
488,Thursday,5,2016-01-14,4432,2962,2418,544
489,Friday,6,2016-01-15,3306,2349,1866,483
490,Saturday,7,2016-01-16,2223,1557,1262,295
491,Sunday,1,2016-01-17,2757,2002,1635,367
492,Monday,2,2016-01-18,4047,2898,2373,525
493,Tuesday,3,2016-01-19,4489,3190,2566,624
494,Wednesday,4,2016-01-20,4588,3232,2656,576
495,Thursday,5,2016-01-21,4398,3106,2561,545
496,Friday,6,2016-01-22,3340,2455,1990,465
497,Saturday,7,2016-01-23,2344,1639,1338,301
498,Sunday,1,2016-01-24,2973,2094,1736,358
499,Monday,2,2016-01-25,4638,3205,2649,556
500,Tuesday,3,2016-01-26,4791,3409,2834,575
501,Wednesday,4,2016-01-27,5104,3768,3197,571
502,Thursday,5,2016-01-28,4621,3439,2876,563
503,Friday,6,2016-01-29,3831,2715,2232,483
504,Saturday,7,2016-01-30,2295,1690,1400,290
505,Sunday,1,2016-01-31,3235,2462,2050,412
506,Monday,2,2016-02-01,4918,3640,3060,580
507,Tuesday,3,2016-02-02,5127,3783,3195,588
508,Wednesday,4,2016-02-03,4794,3575,2999,576
509,Thursday,5,2016-02-04,4788,3420,2848,572
510,Friday,6,2016-02-05,3948,2727,2256,471
511,Saturday,7,2016-02-06,2383,1765,1477,288
512,Sunday,1,2016-02-07,2950,2231,1839,392
513,Monday,2,2016-02-08,4905,3592,3024,568
514,Tuesday,3,2016-02-09,5353,3931,3299,632
515,Wednesday,4,2016-02-10,5492,4007,3358,649
516,Thursday,5,2016-02-11,5052,3628,3019,609
517,Friday,6,2016-02-12,3764,2807,2300,507
518,Saturday,7,2016-02-13,2458,1788,1459,329
